id,created_at,user_id,screen_name,text
N/A,"""2018-10-20T07:05:18.000Z""","""ThePeoplesChamp""",N/A,"""What the actual fuck. $1250 AUD for a phone with a.... 720p LCD screen.... That's pathetic. At least it will be easy to identify people who are too poor to afford the real iPhone and too stupid to choose Android. I bought the Oppo R15 Pro for $700 and it shits all over the XR and even the Xs after taking cost/features into account."""
N/A,"""2018-10-20T06:48:51.000Z""","""chaitanya pattewar""",N/A,"""all 'R' means is behind the 'S'... same analogy One Plus uses and names their phones 'T'"""
N/A,"""2018-10-20T06:46:49.000Z""","""Hanbing Wang""",N/A,"""I really think if XR has the blackish green color , that would be amazing,I will definitely buy it"""
N/A,"""2018-10-20T06:13:28.000Z""","""\u0641\u0631\u0627\u0648\u0644\u0629""",N/A,"""What is the best iPhone? \n8 plus\nOr\nXr"""
N/A,"""2018-10-20T02:45:00.000Z""","""LEGENDARY MAMBA""",N/A,"""How much of an upgrade would it be from my iPhone 7 to this ?"""
N/A,"""2018-10-20T01:16:26.000Z""","""nikhil khullar""",N/A,"""'Phunny' it sounds like Iphone ga'AR'bage"""
N/A,"""2018-10-20T00:52:56.000Z""","""Isi Castillo""",N/A,"""Hello Marques! excellent review... specially talking about all colors. Thanks for your help for deciding my color."""
N/A,"""2018-10-19T23:18:00.000Z""","""Ziko""",N/A,"""iPhone 4 Remastered"""
N/A,"""2018-10-19T22:54:13.000Z""","""Markeet""",N/A,"""major emphasis on the word \""SAME\""  that's why im getting this version for a lot cheaper compared to the others models...great video"""
N/A,"""2018-10-19T21:25:09.000Z""","""Nevils Life""",N/A,"""Is this better than the 8 plus?"""
N/A,"""2018-10-19T16:31:40.000Z""","""Amanda Kirby""",N/A,"""seems like another iphone 5c situation."""
N/A,"""2018-10-19T14:40:11.000Z""","""Support UnitedVAT""",N/A,"""Xr = Xtra Retarded"""
N/A,"""2018-10-19T13:09:32.000Z""","""Irfaan Faki""",N/A,"""Fucking alien finger moron"""
